文件夹 CSVD001 的像素统计结果：
文件夹 QJSH041 的像素统计结果：
    类别 0.0: 11391609 像素点
    类别 1.0: 730012 像素点
    类别 2.0: 876010 像素点
    类别 3.0: 368700 像素点
    类别 5.0: 3037050 像素点
    类别 6.0: 13229 像素点
    类别 7.0: 679992 像素点
    类别 8.0: 87961 像素点
    类别 9.0: 64982 像素点
    类别 10.0: 2807 像素点
文件夹 QJSH042 的像素统计结果：
    类别 0.0: 11490868 像素点
    类别 1.0: 707692 像素点
    类别 2.0: 874316 像素点
    类别 3.0: 346529 像素点
    类别 5.0: 3013033 像素点
    类别 6.0: 13093 像素点
    类别 7.0: 522958 像素点
    类别 8.0: 210472 像素点
    类别 9.0: 70572 像素点
    类别 10.0: 2819 像素点
文件夹 QJSH043 的像素统计结果：
    类别 0.0: 11783086 像素点
    类别 1.0: 687480 像素点
    类别 2.0: 910458 像素点
    类别 3.0: 399416 像素点
    类别 5.0: 2725072 像素点
    类别 6.0: 12905 像素点
    类别 7.0: 534331 像素点
    类别 8.0: 132406 像素点
    类别 9.0: 64381 像素点
    类别 10.0: 2817 像素点
文件夹 QJSH044 的像素统计结果：
    类别 0.0: 11719187 像素点
    类别 1.0: 660562 像素点
    类别 2.0: 867960 像素点
    类别 3.0: 334117 像素点
    类别 5.0: 2822956 像素点
    类别 6.0: 14166 像素点
    类别 7.0: 596799 像素点
    类别 8.0: 170439 像素点
    类别 9.0: 63216 像素点
    类别 10.0: 2950 像素点
文件夹 QJSH045 的像素统计结果：
    类别 0.0: 11344287 像素点
    类别 1.0: 730832 像素点
    类别 2.0: 925045 像素点
    类别 3.0: 319258 像素点
    类别 5.0: 3084280 像素点
    类别 6.0: 20436 像素点
    类别 7.0: 556718 像素点
    类别 8.0: 198555 像素点
    类别 9.0: 69722 像素点
    类别 10.0: 3219 像素点
文件夹 QJSH046 的像素统计结果：
    类别 0.0: 12120976 像素点
    类别 1.0: 680926 像素点
    类别 2.0: 843556 像素点
    类别 3.0: 357635 像素点
    类别 5.0: 2536460 像素点
    类别 6.0: 12595 像素点
    类别 7.0: 543163 像素点
    类别 8.0: 85646 像素点
    类别 9.0: 68687 像素点
    类别 10.0: 2708 像素点
文件夹 QJSH047 的像素统计结果：
    类别 0.0: 11760699 像素点
    类别 1.0: 836396 像素点
    类别 2.0: 1005837 像素点
    类别 3.0: 335153 像素点
    类别 5.0: 2534509 像素点
    类别 6.0: 18223 像素点
    类别 7.0: 536037 像素点
    类别 8.0: 155461 像素点
    类别 9.0: 67235 像素点
    类别 10.0: 2802 像素点
文件夹 QJSH048 的像素统计结果：
    类别 0.0: 11837964 像素点
    类别 1.0: 695850 像素点
    类别 2.0: 902530 像素点
    类别 3.0: 330333 像素点
    类别 5.0: 2726746 像素点
    类别 6.0: 12452 像素点
    类别 7.0: 578501 像素点
    类别 8.0: 105989 像素点
    类别 9.0: 58792 像素点
    类别 10.0: 3195 像素点
文件夹 QJSH049 的像素统计结果：
    类别 0.0: 12001805 像素点
    类别 1.0: 686690 像素点
    类别 2.0: 894013 像素点
    类别 3.0: 308941 像素点
    类别 5.0: 2683771 像素点
    类别 6.0: 18533 像素点
    类别 7.0: 416757 像素点
    类别 8.0: 171846 像素点
    类别 9.0: 67543 像素点
    类别 10.0: 2453 像素点
文件夹 QJSH050 的像素统计结果：
    类别 0.0: 12326328 像素点
    类别 1.0: 756959 像素点
    类别 2.0: 896122 像素点
    类别 3.0: 293074 像素点
    类别 5.0: 2312211 像素点
    类别 6.0: 11957 像素点
    类别 7.0: 465497 像素点
    类别 8.0: 126546 像素点
    类别 9.0: 60735 像素点
    类别 10.0: 2923 像素点
文件夹 QJSH051 的像素统计结果：
    类别 0.0: 12092518 像素点
    类别 1.0: 667360 像素点
    类别 2.0: 789460 像素点
    类别 3.0: 298439 像素点
    类别 5.0: 2696072 像素点
    类别 6.0: 13470 像素点
    类别 7.0: 518658 像素点
    类别 8.0: 117726 像素点
    类别 9.0: 55202 像素点
    类别 10.0: 3447 像素点
文件夹 QJSH052 的像素统计结果：
    类别 0.0: 11316601 像素点
    类别 1.0: 869096 像素点
    类别 2.0: 974083 像素点
    类别 3.0: 405721 像素点
    类别 5.0: 2857308 像素点
    类别 6.0: 17262 像素点
    类别 7.0: 607843 像素点
    类别 8.0: 133037 像素点
    类别 9.0: 68211 像素点
    类别 10.0: 3190 像素点
文件夹 QJSH053 的像素统计结果：
    类别 0.0: 11717155 像素点
    类别 1.0: 935840 像素点
    类别 2.0: 1005539 像素点
    类别 3.0: 280517 像素点
    类别 5.0: 2574578 像素点
    类别 6.0: 12333 像素点
    类别 7.0: 558268 像素点
    类别 8.0: 101219 像素点
    类别 9.0: 64328 像素点
    类别 10.0: 2575 像素点
文件夹 QJSH054 的像素统计结果：
    类别 0.0: 10946801 像素点
    类别 1.0: 763541 像素点
    类别 2.0: 880552 像素点
    类别 3.0: 476688 像素点
    类别 5.0: 3123503 像素点
    类别 6.0: 12787 像素点
    类别 7.0: 891689 像素点
    类别 8.0: 92652 像素点
    类别 9.0: 60969 像素点
    类别 10.0: 3170 像素点
文件夹 SZKP001 的像素统计结果：
    类别 0.0: 7246803 像素点
    类别 1.0: 425915 像素点
    类别 2.0: 567957 像素点
    类别 3.0: 170043 像素点
    类别 5.0: 1639688 像素点
    类别 6.0: 11817 像素点
    类别 7.0: 319899 像素点
    类别 8.0: 59881 像素点
    类别 9.0: 41977 像素点
    类别 10.0: 1780 像素点
文件夹 SZKP002 的像素统计结果：
    类别 0.0: 6715065 像素点
    类别 1.0: 484285 像素点
    类别 2.0: 730534 像素点
    类别 3.0: 226480 像素点
    类别 5.0: 1734896 像素点
    类别 6.0: 13267 像素点
    类别 7.0: 412164 像素点
    类别 8.0: 121819 像素点
    类别 9.0: 44951 像素点
    类别 10.0: 2299 像素点
文件夹 SZKP003 的像素统计结果：
    类别 0.0: 6270971 像素点
    类别 1.0: 506670 像素点
    类别 2.0: 771600 像素点
    类别 3.0: 206138 像素点
    类别 5.0: 2161416 像素点
    类别 6.0: 15003 像素点
    类别 7.0: 432801 像素点
    类别 8.0: 75008 像素点
    类别 9.0: 44267 像素点
    类别 10.0: 1886 像素点
文件夹 SZKP004 的像素统计结果：
    类别 0.0: 6607737 像素点
    类别 1.0: 555780 像素点
    类别 2.0: 762488 像素点
    类别 3.0: 241923 像素点
    类别 5.0: 1750493 像素点
    类别 6.0: 12065 像素点
    类别 7.0: 394881 像素点
    类别 8.0: 112790 像素点
    类别 9.0: 45361 像素点
    类别 10.0: 2242 像素点
文件夹 SZKP005 的像素统计结果：
    类别 0.0: 6824247 像素点
    类别 1.0: 561672 像素点
    类别 2.0: 806823 像素点
    类别 3.0: 176912 像素点
    类别 5.0: 1645911 像素点
    类别 6.0: 13926 像素点
    类别 7.0: 347535 像素点
    类别 8.0: 61619 像素点
    类别 9.0: 44980 像素点
    类别 10.0: 2135 像素点
文件夹 SZKP006 的像素统计结果：
    类别 0.0: 6483226 像素点
    类别 1.0: 516968 像素点
    类别 2.0: 702996 像素点
    类别 3.0: 199357 像素点
    类别 5.0: 2043043 像素点
    类别 6.0: 11774 像素点
    类别 7.0: 406178 像素点
    类别 8.0: 80144 像素点
    类别 9.0: 40143 像素点
    类别 10.0: 1931 像素点
文件夹 SZKP007 的像素统计结果：
    类别 0.0: 6703842 像素点
    类别 1.0: 466961 像素点
    类别 2.0: 681938 像素点
    类别 3.0: 196543 像素点
    类别 5.0: 1896642 像素点
    类别 6.0: 13061 像素点
    类别 7.0: 414735 像素点
    类别 8.0: 71473 像素点
    类别 9.0: 38335 像素点
    类别 10.0: 2230 像素点
文件夹 SZKP008 的像素统计结果：
    类别 0.0: 6809298 像素点
    类别 1.0: 523386 像素点
    类别 2.0: 731004 像素点
    类别 3.0: 210185 像素点
    类别 5.0: 1620986 像素点
    类别 6.0: 13112 像素点
    类别 7.0: 421010 像素点
    类别 8.0: 110648 像素点
    类别 9.0: 44214 像素点
    类别 10.0: 1917 像素点
文件夹 SZKP009 的像素统计结果：
    类别 0.0: 5830487 像素点
    类别 1.0: 557864 像素点
    类别 2.0: 755986 像素点
    类别 3.0: 307090 像素点
    类别 5.0: 2302511 像素点
    类别 6.0: 14150 像素点
    类别 7.0: 547967 像素点
    类别 8.0: 120031 像素点
    类别 9.0: 47142 像素点
    类别 10.0: 2532 像素点
文件夹 SZKP010 的像素统计结果：
    类别 0.0: 7027604 像素点
    类别 1.0: 509625 像素点
    类别 2.0: 656333 像素点
    类别 3.0: 189659 像素点
    类别 5.0: 1652219 像素点
    类别 6.0: 11597 像素点
    类别 7.0: 318236 像素点
    类别 8.0: 77163 像素点
    类别 9.0: 41425 像素点
    类别 10.0: 1899 像素点
文件夹 SZKP011 的像素统计结果：
    类别 0.0: 7381136 像素点
    类别 1.0: 423513 像素点
    类别 2.0: 595113 像素点
    类别 3.0: 172590 像素点
    类别 5.0: 1479902 像素点
    类别 6.0: 13454 像素点
    类别 7.0: 333976 像素点
    类别 8.0: 48779 像素点
    类别 9.0: 35805 像素点
    类别 10.0: 1492 像素点
文件夹 SZKP012 的像素统计结果：
    类别 0.0: 7339914 像素点
    类别 1.0: 450128 像素点
    类别 2.0: 710574 像素点
    类别 3.0: 139034 像素点
    类别 5.0: 1442600 像素点
    类别 6.0: 11898 像素点
    类别 7.0: 312365 像素点
    类别 8.0: 37015 像素点
    类别 9.0: 40480 像素点
    类别 10.0: 1752 像素点
文件夹 SZKP013 的像素统计结果：
    类别 0.0: 7099444 像素点
    类别 1.0: 483431 像素点
    类别 2.0: 701009 像素点
    类别 3.0: 221433 像素点
    类别 5.0: 1479447 像素点
    类别 6.0: 10690 像素点
    类别 7.0: 397206 像素点
    类别 8.0: 47618 像素点
    类别 9.0: 43879 像素点
    类别 10.0: 1603 像素点
文件夹 SZKP014 的像素统计结果：
    类别 0.0: 6458393 像素点
    类别 1.0: 576197 像素点
    类别 2.0: 740296 像素点
    类别 3.0: 249893 像素点
    类别 5.0: 1843041 像素点
    类别 6.0: 12549 像素点
    类别 7.0: 402279 像素点
    类别 8.0: 159130 像素点
    类别 9.0: 41645 像素点
    类别 10.0: 2337 像素点
文件夹 SZKP015 的像素统计结果：
    类别 0.0: 6824577 像素点
    类别 1.0: 589993 像素点
    类别 2.0: 824297 像素点
    类别 3.0: 216231 像素点
    类别 5.0: 2160438 像素点
    类别 6.0: 14932 像素点
    类别 7.0: 408233 像素点
    类别 8.0: 78824 像素点
    类别 9.0: 54273 像素点
    类别 10.0: 2090 像素点
文件夹 SZKP016 的像素统计结果：
    类别 0.0: 6577329 像素点
    类别 1.0: 474414 像素点
    类别 2.0: 696875 像素点
    类别 3.0: 240391 像素点
    类别 5.0: 1910079 像素点
    类别 6.0: 12153 像素点
    类别 7.0: 405749 像素点
    类别 8.0: 123238 像素点
    类别 9.0: 43588 像素点
    类别 10.0: 1944 像素点
文件夹 SZKP017 的像素统计结果：
    类别 0.0: 7620965 像素点
    类别 1.0: 529690 像素点
    类别 2.0: 860479 像素点
    类别 3.0: 155708 像素点
    类别 5.0: 1612172 像素点
    类别 6.0: 13187 像素点
    类别 7.0: 272557 像素点
    类别 8.0: 59679 像素点
    类别 9.0: 47732 像素点
    类别 10.0: 1719 像素点
文件夹 SZKP018 的像素统计结果：
    类别 0.0: 6742145 像素点
    类别 1.0: 469094 像素点
    类别 2.0: 634569 像素点
    类别 3.0: 265970 像素点
    类别 5.0: 1796745 像素点
    类别 6.0: 10778 像素点
    类别 7.0: 458336 像素点
    类别 8.0: 66402 像素点
    类别 9.0: 39999 像素点
    类别 10.0: 1722 像素点
文件夹 SZKP019 的像素统计结果：
    类别 0.0: 6437418 像素点
    类别 1.0: 579058 像素点
    类别 2.0: 721877 像素点
    类别 3.0: 255420 像素点
    类别 5.0: 2452990 像素点
    类别 6.0: 15351 像素点
    类别 7.0: 501925 像素点
    类别 8.0: 156656 像素点
    类别 9.0: 50734 像素点
    类别 10.0: 2459 像素点
文件夹 SZKP020 的像素统计结果：
    类别 0.0: 6290088 像素点
    类别 1.0: 476499 像素点
    类别 2.0: 683147 像素点
    类别 3.0: 211357 像素点
    类别 5.0: 2237414 像素点
    类别 6.0: 15617 像素点
    类别 7.0: 436600 像素点
    类别 8.0: 87081 像素点
    类别 9.0: 45758 像素点
    类别 10.0: 2199 像素点
文件夹 SZKP021 的像素统计结果：
    类别 0.0: 6425529 像素点
    类别 1.0: 493404 像素点
    类别 2.0: 719400 像素点
    类别 3.0: 213589 像素点
    类别 5.0: 2034592 像素点
    类别 6.0: 15935 像素点
    类别 7.0: 411348 像素点
    类别 8.0: 123637 像素点
    类别 9.0: 46360 像素点
    类别 10.0: 1966 像素点
文件夹 SZKP022 的像素统计结果：
    类别 0.0: 7222395 像素点
    类别 1.0: 429162 像素点
    类别 2.0: 651226 像素点
    类别 3.0: 146648 像素点
    类别 5.0: 1632063 像素点
    类别 6.0: 12573 像素点
    类别 7.0: 296169 像素点
    类别 8.0: 55490 像素点
    类别 9.0: 38558 像素点
    类别 10.0: 1476 像素点
文件夹 SZKP023 的像素统计结果：
    类别 0.0: 6903852 像素点
    类别 1.0: 614577 像素点
    类别 2.0: 865402 像素点
    类别 3.0: 236997 像素点
    类别 5.0: 1866620 像素点
    类别 6.0: 14001 像素点
    类别 7.0: 546782 像素点
    类别 8.0: 75498 像素点
    类别 9.0: 47878 像素点
    类别 10.0: 2281 像素点
文件夹 SZKP024 的像素统计结果：
    类别 0.0: 7316845 像素点
    类别 1.0: 518379 像素点
    类别 2.0: 781852 像素点
    类别 3.0: 154839 像素点
    类别 5.0: 1316273 像素点
    类别 6.0: 12168 像素点
    类别 7.0: 281591 像素点
    类别 8.0: 59652 像素点
    类别 9.0: 42382 像素点
    类别 10.0: 1779 像素点
文件夹 SZKP025 的像素统计结果：
    类别 0.0: 7075815 像素点
    类别 1.0: 571304 像素点
    类别 2.0: 834556 像素点
    类别 3.0: 202152 像素点
    类别 5.0: 1888325 像素点
    类别 6.0: 14227 像素点
    类别 7.0: 428742 像素点
    类别 8.0: 109933 像素点
    类别 9.0: 47033 像素点
    类别 10.0: 1801 像素点
文件夹 SZKP026 的像素统计结果：
    类别 0.0: 6959136 像素点
    类别 1.0: 482212 像素点
    类别 2.0: 667321 像素点
    类别 3.0: 204640 像素点
    类别 5.0: 1653858 像素点
    类别 6.0: 12682 像素点
    类别 7.0: 377110 像素点
    类别 8.0: 86044 像素点
    类别 9.0: 40968 像素点
    类别 10.0: 1789 像素点
文件夹 SZKP027 的像素统计结果：
    类别 0.0: 6415934 像素点
    类别 1.0: 654804 像素点
    类别 2.0: 856163 像素点
    类别 3.0: 263310 像素点
    类别 5.0: 2311426 像素点
    类别 6.0: 16257 像素点
    类别 7.0: 486329 像素点
    类别 8.0: 112808 像素点
    类别 9.0: 54149 像素点
    类别 10.0: 2708 像素点
文件夹 SZKP028 的像素统计结果：
    类别 0.0: 6850656 像素点
    类别 1.0: 508722 像素点
    类别 2.0: 726726 像素点
    类别 3.0: 254777 像素点
    类别 5.0: 2194178 像素点
    类别 6.0: 11305 像素点
    类别 7.0: 520687 像素点
    类别 8.0: 57331 像素点
    类别 9.0: 47654 像素点
    类别 10.0: 1852 像素点
文件夹 SZKP029 的像素统计结果：
    类别 0.0: 7188554 像素点
    类别 1.0: 495243 像素点
    类别 2.0: 721005 像素点
    类别 3.0: 166024 像素点
    类别 5.0: 1495638 像素点
    类别 6.0: 11373 像素点
    类别 7.0: 300707 像素点
    类别 8.0: 58552 像素点
    类别 9.0: 47054 像素点
    类别 10.0: 1610 像素点
文件夹 SZKP030 的像素统计结果：
    类别 0.0: 6847428 像素点
    类别 1.0: 456339 像素点
    类别 2.0: 660224 像素点
    类别 3.0: 173637 像素点
    类别 5.0: 1857020 像素点
    类别 6.0: 13230 像素点
    类别 7.0: 370151 像素点
    类别 8.0: 63574 像素点
    类别 9.0: 42211 像素点
    类别 10.0: 1946 像素点
文件夹 SZKP031 的像素统计结果：
    类别 0.0: 6708518 像素点
    类别 1.0: 521357 像素点
    类别 2.0: 741579 像素点
    类别 3.0: 219962 像素点
    类别 5.0: 1746137 像素点
    类别 6.0: 13206 像素点
    类别 7.0: 449717 像素点
    类别 8.0: 37564 像素点
    类别 9.0: 45781 像素点
    类别 10.0: 1939 像素点
文件夹 SZKP032 的像素统计结果：
    类别 0.0: 5896583 像素点
    类别 1.0: 599358 像素点
    类别 2.0: 817907 像素点
    类别 3.0: 249151 像素点
    类别 5.0: 2790127 像素点
    类别 6.0: 18842 像素点
    类别 7.0: 582315 像素点
    类别 8.0: 165935 像素点
    类别 9.0: 50600 像素点
    类别 10.0: 3070 像素点
文件夹 SZKP033 的像素统计结果：
    类别 0.0: 6922480 像素点
    类别 1.0: 494635 像素点
    类别 2.0: 738380 像素点
    类别 3.0: 178177 像素点
    类别 5.0: 1730247 像素点
    类别 6.0: 11322 像素点
    类别 7.0: 269027 像素点
    类别 8.0: 98426 像素点
    类别 9.0: 41253 像素点
    类别 10.0: 1813 像素点
文件夹 SZKP034 的像素统计结果：
    类别 0.0: 6829419 像素点
    类别 1.0: 568754 像素点
    类别 2.0: 757554 像素点
    类别 3.0: 293158 像素点
    类别 5.0: 1996850 像素点
    类别 6.0: 12496 像素点
    类别 7.0: 589837 像素点
    类别 8.0: 72444 像素点
    类别 9.0: 51456 像素点
    类别 10.0: 1920 像素点
